,Tweets,id,len,date,source,likes,retweets
0,"RT @NYPDDCPI: A solemn, silent salute for Firefighter Timothy Klein whose legacy is now one of heroics, selfless service, and the ultimate…",1518561962120130560,139,2022-04-25 12:05:59+00:00,Twitter Web App,0,25
1,"This afternoon, NYC lost one of it's bravest. Firefighter Timothy Klein died tragically while battling a 3-alarm fire in Brooklyn. We stand with our @FDNY family &amp; all New Yorkers as we mourn this terrible loss. https://t.co/GxJcIlBHt5",1518407564660289537,239,2022-04-25 01:52:28+00:00,Twitter Web App,477,98
2,We are saddened by the loss of @FDNY Firefighter Timothy Klein. Firefighter Klein died serving the people of NYC and will forever be a hero. We stand with our brothers and sisters at the FDNY as they grieve for their brother and continue to watch over the city. https://t.co/CN8oFoqg6E,1518364109124866049,285,2022-04-24 22:59:48+00:00,Twitter Web App,233,51
3,"Our deepest condolences go out to the family, friends, &amp; co-workers of Police Officer Andrew Barr from Cayce Police Department, who was shot &amp; killed while responding to a domestic disturbance call. He had served with the department for 6 years.
#FidelisAdMortem https://t.co/nAvUjZNmFs",1518349950534496261,294,2022-04-24 22:03:32+00:00,Twitter Web App,177,41
4,"RT @NYPD23Pct: Investigating a domestic violence call, Sgt Sohmer &amp; his Officers gained the confidence of a witness who led them to this il…",1518312260380332032,144,2022-04-24 19:33:46+00:00,Twitter Web App,0,20
5,"RT @NYPDTransit: Recently, Transit officers saw two men fighting near a Brooklyn train station and ran to intervene. Our District 34 team s…",1518293716544495626,140,2022-04-24 18:20:05+00:00,Twitter Web App,0,46
6,"RT @NYPDFIRSTDEP: From @NYPDSchools Safety Agents and @NYPDTransport Traffic Agents, to Police Administrative Aides and @NYPDDetectives; wh…",1518258674904584193,140,2022-04-24 16:00:50+00:00,Twitter Web App,0,23
7,"Here is a closer look at the suspect. Again, if you have any information, DM @NYPDTips, or anonymously call 800-577-TIPS. https://t.co/UUAAr6KDMl",1518228462418415617,145,2022-04-24 14:00:47+00:00,Twitter Web App,24,32
8,"🚨WANTED for GLA/Leaving The Scene of an Accident: On 4/22/22 at approx 8:15 AM, in front of 4527 White Plains Rd in the Bronx, the suspect removed a flatbed truck without permission, then struck a 49-year-old male &amp; fled the location. Any info? DM @NYPDTips or call 800-577-TIPS. https://t.co/R1XJThPbxx",1518228457959866369,307,2022-04-24 14:00:46+00:00,Twitter Web App,138,107
9,"What are you doing tonight? Did you know Saturday Night Lights is back? There are locations in every borough where kids can enjoy their night.

For a list of locations by borough:
https://t.co/gBR5u4rDds https://t.co/HN404Qe05r",1517986873355948033,227,2022-04-23 22:00:48+00:00,Hootsuite Inc.,32,10
10,"Ever wonder how the NYPD Crime Stoppers Program works? President &amp; CEO of the @nycpolicefdtn, Susan Birnbaum, &amp; Sgt. Richard Wall from @NYPDTips joined @NY1 to answer that question and more. https://t.co/hQwaDGN7lD",1517963829023494145,222,2022-04-23 20:29:13+00:00,Twitter Media Studio,34,16
11,"Reminder: There are events going on throughout NYC that may affect your commute. Stay one step ahead of the traffic by checking out our weekend traffic advisory.

https://t.co/ALritgi5lK",1517896184702115841,186,2022-04-23 16:00:26+00:00,Hootsuite Inc.,18,9
12,"TODAY!
Cash for Guns with @QueensDAKatz 
 
NO QUESTIONS ASKED.

Praise Tabernacle Church
108-11 Sutphin Boulevard
10:00 A.M. to 4:00 P.M.

$200 Pre-paid cards &amp; iPads for Handguns &amp; Assault Rifles
$25 for Rifles, Shotguns, and Airguns https://t.co/Mk8qYEnbIb",1517866009650253824,266,2022-04-23 14:00:31+00:00,Hootsuite Inc.,22,12
13,"From parades in Manhattan to Marathons in Brooklyn, there is alot happening in NYC this weekend. Stay one step ahead of the traffic by checking out our weekend traffic advisory.

https://t.co/ALritgi5lK https://t.co/jkZ1skEwvp",1517628071762878464,226,2022-04-22 22:15:03+00:00,Hootsuite Inc.,50,14
