Date,User,Tweet,Target
2023-04-18 02:15:01+00:00,joybells49,'Natural Disasters are Intensifying: Coincidence or a Warning'? [https://t.co/w5IeNtV6Oe] The number of disasters has tripled in the last 30 years. Why does God allow this? God knows best! #EndTimes #PrayForFlorida #HurricaneIan #MidtermElections #ShockAndAwe #NaturalDisasters https://t.co/jkIdeQkYcE,1
2023-04-18 02:07:23+00:00,KaiEnhancements,"Tsunami,  ""He's A Natural Disaster""... OK OK.... @WWEGraves and Kevin Patrick... 

#WWE #WWERaw #NaturalDisasters https://t.co/WCAWVkUidC",1
2023-04-17 22:15:36+00:00,SnipeYamer,ICE tsunami. #earthquake #tsunami #naturaldisasters https://t.co/C9hc6tK78f via @YouTube,1
2023-04-17 19:05:23+00:00,Dev_Discourse,"Why Strengthening Resilience is Critical for Development in Asia-Pacific 
https://t.co/KQlggVTvIZ 
#AsiaPacific #SustainableDevelopment #naturaldisasters #ManmadeDisasters #ClimateChange",1
2023-04-17 16:48:27+00:00,ElmerPalaceSE25,"Babies of the earthquake: caring for a newborn in the aftermath of the Syria-Turkey disaster – in pictures

#NaturalDisasters    #SyriaTurkeyEarthquake   #BabiesOfTheEarthquake    #InPictures    #TheGuardian    #photography    #Photos 
 https://t.co/K92D6kKgwg",1
2023-04-17 15:02:41+00:00,VakayEveryDay,"Supporting those affected by natural disasters with long term housing and assistance. We can all make a difference and ensure no one is left behind.

#naturaldisasters #longtermhousing #support #community #makeadifference #makeadifference",1
2023-04-17 13:46:02+00:00,MrCampbellP5,Well done C for making a volcano with an ash cloud during our mini #STEM challenge #naturaldisasters @SacredHeartPrim 🌋 https://t.co/qiSdzp0Y30,1
2023-04-17 13:30:22+00:00,1GirlRevo,"⁣✨✨✨⁣⁣⁣⁣
#women #inspiring #inspiringwomen #podcast #newepisode #womenspodcast #monday #mondaymotivation #mondaylisten #motivation #inspiringstories #sistercorps #naturaldisaster #naturaldisasters #hurricane #flooding #tornado",1
2023-04-17 10:23:00+00:00,Dev_Discourse,"Why Strengthening Resilience is Critical for Development in Asia-Pacific 
https://t.co/KQlggVSXTr 
#AsiaPacific #Resilience #SustainableDevelopment #DisasterRiskReduction #ClimateAdaptation #SocialProtection #GoodGovernance #collaboration #NaturalDisasters #ManMadeDisasters",1
2023-04-17 09:48:40+00:00,Dev_Discourse,"Why Strengthening Resilience is Critical for Development in Asia-Pacific 
https://t.co/KQlggVSXTr 
#AsiaPacific #Resilience #SustainableDevelopment #ClimateAdaptation #SocialProtection #EconomicDiversification #GoodGovernance #Challenges #NaturalDisasters #ManMadeDisasters",1
2023-04-17 09:39:07+00:00,GReportIndia,"Coastal belt of Puri, Odisha: Livelihood Crisis and Gender disparity coexist https://t.co/ZGFvrorBjI 

The #coastal crisis in #Puri, #Odisha has been a matter of concern for the locals, especially the fishing #community. With the increasing frequency of #naturaldisasters,…",1
2023-04-17 07:51:22+00:00,Helvetas,Watch how communities in SW Bangladesh create a safe learning environment for students despite natural disasters like flooding. An inspiring video by our partner @OrgUttaran! #education #Bangladesh #naturaldisasters https://t.co/8geCfgFCbd,1
2023-04-16 23:58:31+00:00,FolksMail,At least 5 dead and 14 injured by lightning strike in Colombia https://t.co/k2GUSh8uZm #Colombian #Lightning #Naturaldisasters,1
2023-04-16 21:00:00+00:00,AssocGlensFalls,"Tornado season is upon us. Do you know if your home is insured for the proper amount? Don’t wait to find out, give us a call today! #underinsured #homeownersinsurance #personalinsurance #tornadoseason #tornadowarning #insurance #naturaldisasters https://t.co/IYOirU4Uct",1
2023-04-16 15:36:58+00:00,BreakingAI_News,"Be prepared for earthquakes with ""All About Earthquakes You Need to Know Now,"" a must-read guide to understanding and mitigating the impacts of these powerful natural events 🌍📘 #AllAboutEarthquakes #Seismology #EarthquakePreparedness #NaturalDisasters https://t.co/XQhtWaeSss",1
2023-04-16 02:46:44+00:00,femfict,#googletrends #trends #trend #sports #naturaldisasters #darkhumour #SEO #trending #news https://t.co/Uy95TxzW3X,1
2023-04-15 19:40:00+00:00,farmpress,"𝗖𝗼𝗽𝗶𝗻𝗴 𝘄𝗶𝘁𝗵 𝗴𝗿𝗶𝗲𝗳 𝗮𝗻𝗱 𝘀𝘁𝗿𝗲𝘀𝘀: After #NaturalDisasters, food and shelter are prioritized well above mental health, but ignoring emotional distress can lead to serious physical #health conditions. @MSUExtService 
https://t.co/Fen95kFY2j",1
2023-04-15 17:42:00+00:00,nataglaw,#NaturalDisasters can impact #ag operations. Learn more about how the #federalgovernment plays a role in assisting agricultural producers dealing with these issues in the Disaster Assistance/#CropInsurance Reading Room: https://t.co/95qwXjsEcO,1
2023-04-15 12:35:24+00:00,MichaelGouldCRI,"In the same way you prepare your home for an approaching storm, it’s essential to prepare your business for potential interruptions or loss of income caused by natural disasters or external factors. 
#Insurance #Business #NaturalDisasters https://t.co/v7eP6XPC8c",1
2023-04-15 08:06:54+00:00,TheKhmerDaily,"After earthquake, Istanbul gripped by fear that bigger disaster awaits

#Earthquakes #Istanbul #NaturalDisasters #TURKEY
https://t.co/V7igXC1V80",1
2023-04-15 07:59:59+00:00,BiscottiCurious,🚨 Emergency alert! 🚨 I'm setting a goal on Ko-fi to get the Natural Disasters DLC for Cities Skylines. Help me make it happen with just $10! Let's create some chaos and have some fun 😄 #CitiesSkylines #NaturalDisasters #GamingCommunity https://t.co/wuCOMEr7uj,1
2023-04-15 05:54:04+00:00,wjcblackshaw,Some good recommended reading on #naturaldisasters for A Level students #geographyteacher https://t.co/g5D42VjePD,1
2023-04-15 01:38:25+00:00,YouAreNetcom,"Report: Shooting kills 3 Kurds celebrating new year in Syria #MiddleEast #Naturaldisasters #Politics #Syria #Turkeygovernment 
https://t.co/v1n2p8TZKO",1
2023-04-14 22:14:07+00:00,ZerosAndOnez,@CryptoCoconutz The Secret Government Plot to Control the Weather and Create Natural Disasters?🥹 #HAARP #naturaldisasters,1
2023-04-14 20:47:25+00:00,PMEUBC,"Why are there smaller earthquakes before and after larger ones? 🤔

#MuseumsEh #geosciences #naturaldisasters #geologystudent #sciencefact #sciencerules #sciencemuseum #worldwonder #geologypage #museumlover #scientists #scienceiscool #geologist #ubc #geologyrocks #sciencefacts https://t.co/mYRNSS3uwf",1
2023-04-14 19:15:00+00:00,farmpress,"ACT QUICKLY - #California farmers &amp; ranchers affected by floods &amp; other #NaturalDisasters must act quickly to report losses and potential losses if they want the greatest success with insurance &amp; disaster claims. CEO of the @almondalliance offers advice.

https://t.co/blG4Z9VKEO",1
2023-04-14 15:38:24+00:00,FactasticFeed,"Largest earthquake on record: Chile, 1960. Magnitude 9.5, caused tsunamis in Hawaii, Japan, Philippines, and US. 🌊🌎 #NaturalDisasters #FactasticFeed",1
2023-04-14 15:09:27+00:00,SylvanaPilidou,"Just a simple thought: Most natural  phenomena turn into disasters due to Earth's gravity...
#Earth #gravity #NaturalPhenomena #NaturalDisasters https://t.co/e9tSas6nQB",1
2023-04-14 15:00:03+00:00,feedmileapp,"Strong earthquake measuring 7.0 on the richter scale jolted Indonesia today. No warning for tsunami. 

#feedmile #indonesia #earthquake #richterscale #tsunami #naturaldisasters #disaster #USGeologicalSurvey #ringoffire https://t.co/omoICMR9er",1
2023-04-14 13:25:45+00:00,4_jamaica,"#TheHappeningDaysOfTheLord #WorldWar3Europe 2023 Launching, ""The End Result"" is now. Dreadful &amp; Terrible. The #Judgements of #God are #Anarchy #Death #Destruction #Darkness #Earthquakes #Famines #Fire #Floodings #Hurricanes #Plagues #Wars #Tornadoes #FerventHeat #NaturalDisasters",1
2023-04-14 13:03:43+00:00,haiti_air_amb,"Operating 365 days of the year, we provide invaluable support to other #NGOs and government organizations during #naturaldisasters and #recoveryoperations. (4/9)",1
